time(s)	cellId	rnti	lcid	packetSize
0.759	3	1	3	1032
0.76	1	1	3	1032
0.76	3	1	3	1032
0.761	1	1	3	1032
0.761	3	1	3	1032
0.762	1	1	3	1032
0.762	3	1	3	1032
0.763	1	1	3	1032
0.763	3	1	3	1032
0.764	1	1	3	1032
0.764	3	1	3	1032
0.765	1	1	3	1032
0.765	3	1	3	1032
0.766	1	1	3	1032
0.766	3	1	3	1032
0.767	1	1	3	1032
0.767	3	1	3	1032
0.768	1	1	3	1032
0.768	3	1	3	1032
0.769	1	1	3	1032
0.769	3	1	3	1032
0.77	1	1	3	1032
0.77	3	1	3	1032
0.771	1	1	3	1032
0.771	3	1	3	1032
0.772	1	1	3	1032
0.772	3	1	3	1032
0.773	1	1	3	1032
0.773	3	1	3	1032
0.774	1	1	3	1032
0.774	3	1	3	1032
0.775	1	1	3	1032
0.775	3	1	3	1032
0.776	1	1	3	1032
0.776	3	1	3	1032
0.777	1	1	3	1032
0.777	3	1	3	1032
0.778	1	1	3	1032
0.778	3	1	3	1032
0.779	1	1	3	1032
0.779	3	1	3	1032
0.78	1	1	3	1032
0.78	3	1	3	1032
0.781	1	1	3	1032
0.781	3	1	3	1032
0.782	1	1	3	1032
0.782	3	1	3	1032
0.783	1	1	3	1032
0.783	3	1	3	1032
0.784	1	1	3	1032
0.784	3	1	3	1032
0.785	1	1	3	1032
0.785	3	1	3	1032
0.786	1	1	3	1032
0.786	3	1	3	1032
0.787	1	1	3	1032
0.787	3	1	3	1032
0.788	1	1	3	1032
0.788	3	1	3	1032
0.789	1	1	3	1032
0.789	3	1	3	1032
0.79	1	1	3	1032
0.79	3	1	3	1032
0.791	1	1	3	1032
0.791	3	1	3	1032
0.792	1	1	3	1032
0.792	3	1	3	1032
0.793	1	1	3	1032
0.793	3	1	3	1032
0.794	1	1	3	1032
0.794	3	1	3	1032
0.795	1	1	3	1032
0.795	3	1	3	1032
0.796	1	1	3	1032
0.796	3	1	3	1032
0.797	1	1	3	1032
0.797	3	1	3	1032
0.798	1	1	3	1032
0.798	3	1	3	1032
0.799	1	1	3	1032
0.799	3	1	3	1032
0.8	1	1	3	1032
0.8	3	1	3	1032
0.801	1	1	3	1032
0.801	3	1	3	1032
0.802	1	1	3	1032
0.802	3	1	3	1032
0.803	1	1	3	1032
0.803	3	1	3	1032
0.804	1	1	3	1032
0.804	3	1	3	1032
0.805	1	1	3	1032
0.805	3	1	3	1032
0.806	1	1	3	1032
0.806	3	1	3	1032
0.807	1	1	3	1032
0.807	3	1	3	1032
0.808	1	1	3	1032
0.808	3	1	3	1032
0.809	1	1	3	1032
0.809	3	1	3	1032
0.81	1	1	3	1032
0.81	3	1	3	1032
0.811	1	2	3	98
0.811	1	1	3	1032
0.811	3	2	3	98
0.811	3	1	3	1032
0.812	1	2	3	98
0.812	1	1	3	1032
0.812	3	2	3	98
0.812	3	1	3	1032
0.813	1	2	3	98
0.813	1	1	3	1032
0.813	3	2	3	98
0.813	3	1	3	1032
0.814	1	2	3	98
0.814	1	1	3	1032
0.814	3	2	3	98
0.814	3	1	3	1032
0.815	1	2	3	98
0.815	1	1	3	1032
0.815	3	2	3	87
0.815	3	1	3	1032
0.816	1	2	3	98
0.816	1	1	3	1032
0.816	3	2	3	98
0.816	3	1	3	1032
0.817	1	2	3	3605
0.817	1	1	3	1032
0.817	3	2	3	3605
0.817	3	1	3	1032
0.818	1	2	3	3605
0.818	1	1	3	1032
0.818	3	2	3	3605
0.818	3	1	3	1032
0.819	1	2	3	3605
0.819	1	1	3	1032
0.819	3	2	3	3605
0.819	3	1	3	1032
0.82	1	2	3	3605
0.82	1	1	3	1032
0.82	3	2	3	3605
0.82	3	1	3	1032
0.821	1	2	3	3605
0.821	1	1	3	1032
0.821	3	2	3	3605
0.821	3	1	3	1032
0.822	1	2	3	3605
0.822	1	1	3	1032
0.822	3	2	3	3605
0.822	3	1	3	1032
0.823	1	2	3	3605
0.823	1	1	3	1032
0.823	3	2	3	3605
0.823	3	1	3	1032
0.824	1	2	3	3203
0.824	1	1	3	1032
0.824	3	2	3	3605
0.824	3	1	3	1032
0.825	1	2	3	3605
0.825	1	1	3	1032
0.825	3	2	3	3605
0.825	3	1	3	1032
0.826	1	2	3	3605
0.826	1	1	3	1032
0.826	3	2	3	3605
0.826	3	1	3	1032
0.827	1	2	3	3605
0.827	1	1	3	1032
0.827	3	2	3	3605
0.827	3	1	3	1032
0.828	1	2	3	3605
0.828	1	1	3	1032
0.828	3	2	3	3605
0.828	3	1	3	1032
0.829	1	2	3	3605
0.829	1	1	3	1032
0.829	3	2	3	3605
0.829	3	1	3	1032
0.83	1	2	3	3605
0.83	1	1	3	1032
0.83	3	2	3	3605
0.83	3	1	3	1032
0.831	1	2	3	3605
0.831	1	1	3	1032
0.831	3	2	3	3605
0.831	3	1	3	1032
0.832	1	2	3	3605
0.832	1	1	3	1032
0.832	3	2	3	3605
0.832	3	1	3	1032
0.833	1	2	3	3605
0.833	1	1	3	1032
0.833	3	2	3	3605
0.833	3	1	3	1032
0.834	1	2	3	3605
0.834	1	1	3	1032
0.834	3	2	3	3605
0.834	3	1	3	1032
0.835	1	2	3	3605
0.835	1	1	3	1032
0.835	3	2	3	3605
0.835	3	1	3	1032
0.836	1	2	3	3605
0.836	1	1	3	1032
0.836	3	2	3	3605
0.836	3	1	3	1032
0.837	1	2	3	3605
0.837	1	1	3	1032
0.837	3	2	3	3605
0.837	3	1	3	1032
0.838	1	2	3	3605
0.838	1	1	3	1032
0.838	3	2	3	3605
0.838	3	1	3	1032
0.839	1	2	3	3605
0.839	1	1	3	1032
0.839	3	2	3	3605
0.839	3	1	3	1032
0.84	1	2	3	3605
0.84	1	1	3	1032
0.84	3	2	3	3605
0.84	3	1	3	1032
0.841	1	2	3	3605
0.841	1	1	3	1032
0.841	3	2	3	3605
0.841	3	1	3	1032
0.842	1	2	3	3605
0.842	1	1	3	1032
0.842	3	2	3	3605
0.842	3	1	3	1032
0.843	1	2	3	3605
0.843	1	1	3	1032
0.843	3	2	3	3605
0.843	3	1	3	1032
0.844	1	2	3	3605
0.844	1	1	3	1032
0.844	3	2	3	3605
0.844	3	1	3	1032
0.845	1	2	3	3605
0.845	1	1	3	1032
0.845	3	2	3	3605
0.845	3	1	3	1032
0.846	1	2	3	3605
0.846	1	1	3	1032
0.846	3	2	3	3605
0.846	3	1	3	1032
0.847	1	2	3	3605
0.847	1	1	3	1032
0.847	3	2	3	3605
0.847	3	1	3	1032
0.848	1	2	3	3605
0.848	1	1	3	1032
0.848	3	2	3	3605
0.848	3	1	3	1032
0.849	1	2	3	3605
0.849	1	1	3	1032
0.849	3	2	3	3605
0.849	3	1	3	1032
0.85	1	2	3	3605
0.85	1	1	3	1032
0.85	3	2	3	3605
0.85	3	1	3	1032
0.851	1	2	3	3605
0.851	1	1	3	1032
0.851	3	2	3	3605
0.851	3	1	3	1032
0.852	1	2	3	3605
0.852	1	1	3	1032
0.852	3	2	3	3605
0.852	3	1	3	1032
0.853	1	2	3	3605
0.853	1	1	3	1032
0.853	3	2	3	3605
0.853	3	1	3	1032
0.854	1	2	3	3605
0.854	1	1	3	1032
0.854	3	2	3	3605
0.854	3	1	3	1032
0.855	1	2	3	3605
0.855	1	1	3	1032
0.855	3	2	3	3605
0.855	3	1	3	1032
0.856	1	2	3	3605
0.856	1	1	3	1032
0.856	3	2	3	3605
0.856	3	1	3	1032
0.857	1	2	3	3605
0.857	1	1	3	1032
0.857	3	2	3	3605
0.857	3	1	3	1032
0.858	1	2	3	3605
0.858	1	1	3	1032
0.858	3	2	3	3605
0.858	3	1	3	1032
0.859	1	2	3	3605
0.859	1	1	3	1032
0.859	3	2	3	3203
0.859	3	1	3	1032
0.86	1	2	3	3605
0.86	1	1	3	1032
0.86	3	2	3	3605
0.86	3	1	3	1032
0.861	1	2	3	3605
0.861	1	1	3	1032
0.861	3	2	3	3605
0.861	3	1	3	1032
0.862	1	2	3	3605
0.862	1	1	3	1032
0.862	3	2	3	3605
0.862	3	1	3	1032
0.863	1	2	3	3605
0.863	1	1	3	1032
0.863	3	2	3	3605
0.863	3	1	3	1032
0.864	1	2	3	3605
0.864	1	1	3	1032
0.864	3	2	3	3605
0.864	3	1	3	1032
0.865	1	2	3	3605
0.865	1	1	3	1032
0.865	3	2	3	3605
0.865	3	1	3	1032
0.866	1	2	3	3605
0.866	1	1	3	1032
0.866	3	2	3	3605
0.866	3	1	3	1032
0.867	1	2	3	3605
0.867	1	1	3	1032
0.867	3	2	3	3605
0.867	3	1	3	1032
0.868	1	2	3	3605
0.868	1	1	3	1032
0.868	3	2	3	3605
0.868	3	1	3	1032
0.869	1	2	3	3605
0.869	1	1	3	1032
0.869	3	2	3	3605
0.869	3	1	3	1032
0.87	1	2	3	3605
0.87	1	1	3	1032
0.87	3	2	3	3605
0.87	3	1	3	1032
0.871	1	2	3	3605
0.871	1	1	3	1032
0.871	3	2	3	3605
0.871	3	1	3	1032
0.872	1	2	3	3203
0.872	1	1	3	1032
0.872	3	2	3	3605
0.872	3	1	3	1032
0.873	1	2	3	3605
0.873	1	1	3	1032
0.873	3	2	3	3605
0.873	3	1	3	1032
0.874	1	2	3	3605
0.874	1	1	3	1032
0.874	3	2	3	3605
0.874	3	1	3	1032
0.875	1	2	3	3605
0.875	1	1	3	1032
0.875	3	2	3	3605
0.875	3	1	3	1032
0.876	1	2	3	3605
0.876	1	1	3	1032
0.876	3	2	3	3605
0.876	3	1	3	1032
0.877	1	2	3	3605
0.877	1	1	3	1032
0.877	3	2	3	3605
0.877	3	1	3	1032
0.878	1	2	3	3605
0.878	1	1	3	1032
