Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.840929	HARQ FD Txed	84	0	0	1	1	0	15	2
0.841071	DL DCI Rxed	84	1	0	1	1	0	12	2
0.841071	DL DCI Rxed	84	1	0	1	2	0	12	2
0.841071	DL DCI Rxed	84	1	0	3	1	0	12	2
0.841071	DL DCI Rxed	84	1	0	3	2	0	12	2
0.841929	HARQ FD Txed	84	1	0	1	2	0	14	2
0.841929	HARQ FD Txed	84	1	0	3	2	0	14	2
0.841929	HARQ FD Txed	84	1	0	3	1	0	14	2
0.841929	HARQ FD Txed	84	1	0	1	1	0	14	2
0.842071	DL DCI Rxed	84	2	0	1	1	0	11	2
0.842071	DL DCI Rxed	84	2	0	1	2	0	11	2
0.842071	DL DCI Rxed	84	2	0	3	1	0	11	2
0.842071	DL DCI Rxed	84	2	0	3	2	0	11	2
0.842929	HARQ FD Txed	84	2	0	1	2	0	13	2
0.842929	HARQ FD Txed	84	2	0	3	2	0	13	2
0.842929	HARQ FD Txed	84	2	0	3	1	0	13	2
0.842929	HARQ FD Txed	84	2	0	1	1	0	13	2
0.843071	DL DCI Rxed	84	3	0	1	1	0	15	2
0.843071	DL DCI Rxed	84	3	0	1	2	0	15	2
0.843071	DL DCI Rxed	84	3	0	3	1	0	15	2
0.843071	DL DCI Rxed	84	3	0	3	2	0	15	2
0.843929	HARQ FD Txed	84	3	0	1	2	0	12	2
0.843929	HARQ FD Txed	84	3	0	3	2	0	12	2
0.843929	HARQ FD Txed	84	3	0	3	1	0	12	2
0.843929	HARQ FD Txed	84	3	0	1	1	0	12	2
0.844071	DL DCI Rxed	84	4	0	1	1	0	14	2
0.844071	DL DCI Rxed	84	4	0	1	2	0	14	2
0.844071	DL DCI Rxed	84	4	0	3	1	0	14	2
0.844071	DL DCI Rxed	84	4	0	3	2	0	14	2
0.844929	HARQ FD Txed	84	4	0	1	2	0	11	2
0.844929	HARQ FD Txed	84	4	0	3	2	0	11	2
0.844929	HARQ FD Txed	84	4	0	3	1	0	11	2
0.844929	HARQ FD Txed	84	4	0	1	1	0	11	2
0.845071	DL DCI Rxed	84	5	0	1	1	0	13	2
0.845071	DL DCI Rxed	84	5	0	1	2	0	13	2
0.845071	DL DCI Rxed	84	5	0	3	1	0	13	2
0.845071	DL DCI Rxed	84	5	0	3	2	0	13	2
0.845929	HARQ FD Txed	84	5	0	1	2	0	15	2
0.845929	HARQ FD Txed	84	5	0	3	2	0	15	2
0.845929	HARQ FD Txed	84	5	0	3	1	0	15	2
0.845929	HARQ FD Txed	84	5	0	1	1	0	15	2
0.846071	DL DCI Rxed	84	6	0	1	1	0	12	2
0.846071	DL DCI Rxed	84	6	0	1	2	0	12	2
0.846071	DL DCI Rxed	84	6	0	3	1	0	12	2
0.846071	DL DCI Rxed	84	6	0	3	2	0	12	2
0.846929	HARQ FD Txed	84	6	0	1	2	0	14	2
0.846929	HARQ FD Txed	84	6	0	3	2	0	14	2
0.846929	HARQ FD Txed	84	6	0	3	1	0	14	2
0.846929	HARQ FD Txed	84	6	0	1	1	0	14	2
0.847071	DL DCI Rxed	84	7	0	1	1	0	11	2
0.847071	DL DCI Rxed	84	7	0	1	2	0	11	2
0.847071	DL DCI Rxed	84	7	0	3	1	0	11	2
0.847071	DL DCI Rxed	84	7	0	3	2	0	11	2
0.847929	HARQ FD Txed	84	7	0	1	2	0	13	2
0.847929	HARQ FD Txed	84	7	0	3	2	0	13	2
0.847929	HARQ FD Txed	84	7	0	3	1	0	13	2
0.847929	HARQ FD Txed	84	7	0	1	1	0	13	2
0.848071	DL DCI Rxed	84	8	0	1	1	0	15	2
0.848071	DL DCI Rxed	84	8	0	1	2	0	15	2
0.848071	DL DCI Rxed	84	8	0	3	1	0	15	2
0.848071	DL DCI Rxed	84	8	0	3	2	0	15	2
0.848929	HARQ FD Txed	84	8	0	1	2	0	12	2
0.848929	HARQ FD Txed	84	8	0	3	2	0	12	2
0.848929	HARQ FD Txed	84	8	0	3	1	0	12	2
0.848929	HARQ FD Txed	84	8	0	1	1	0	12	2
0.849071	DL DCI Rxed	84	9	0	1	1	0	14	2
0.849071	DL DCI Rxed	84	9	0	1	2	0	14	2
0.849071	DL DCI Rxed	84	9	0	3	1	0	14	2
0.849071	DL DCI Rxed	84	9	0	3	2	0	14	2
0.849929	HARQ FD Txed	84	9	0	1	2	0	11	2
0.849929	HARQ FD Txed	84	9	0	3	2	0	11	2
0.849929	HARQ FD Txed	84	9	0	3	1	0	11	2
0.849929	HARQ FD Txed	84	9	0	1	1	0	11	2
0.850071	DL DCI Rxed	85	0	0	1	1	0	13	2
0.850071	DL DCI Rxed	85	0	0	1	2	0	13	2
0.850071	DL DCI Rxed	85	0	0	3	1	0	13	2
0.850071	DL DCI Rxed	85	0	0	3	2	0	13	2
0.850929	HARQ FD Txed	85	0	0	1	2	0	15	2
0.850929	HARQ FD Txed	85	0	0	3	2	0	15	2
0.850929	HARQ FD Txed	85	0	0	3	1	0	15	2
0.850929	HARQ FD Txed	85	0	0	1	1	0	15	2
0.851071	DL DCI Rxed	85	1	0	1	1	0	12	2
0.851071	DL DCI Rxed	85	1	0	1	2	0	12	2
0.851071	DL DCI Rxed	85	1	0	3	1	0	12	2
0.851071	DL DCI Rxed	85	1	0	3	2	0	12	2
0.851929	HARQ FD Txed	85	1	0	1	2	0	14	2
0.851929	HARQ FD Txed	85	1	0	3	2	0	14	2
0.851929	HARQ FD Txed	85	1	0	3	1	0	14	2
0.851929	HARQ FD Txed	85	1	0	1	1	0	14	2
0.852071	DL DCI Rxed	85	2	0	1	1	0	11	2
0.852071	DL DCI Rxed	85	2	0	1	2	0	11	2
0.852071	DL DCI Rxed	85	2	0	3	1	0	11	2
0.852071	DL DCI Rxed	85	2	0	3	2	0	11	2
0.852929	HARQ FD Txed	85	2	0	1	2	0	13	2
0.852929	HARQ FD Txed	85	2	0	3	2	0	13	2
0.852929	HARQ FD Txed	85	2	0	3	1	0	13	2
0.852929	HARQ FD Txed	85	2	0	1	1	0	13	2
0.853071	DL DCI Rxed	85	3	0	1	1	0	15	2
0.853071	DL DCI Rxed	85	3	0	1	2	0	15	2
0.853071	DL DCI Rxed	85	3	0	3	1	0	15	2
0.853071	DL DCI Rxed	85	3	0	3	2	0	15	2
0.853929	HARQ FD Txed	85	3	0	1	2	0	12	2
0.853929	HARQ FD Txed	85	3	0	3	2	0	12	2
0.853929	HARQ FD Txed	85	3	0	3	1	0	12	2
0.853929	HARQ FD Txed	85	3	0	1	1	0	12	2
0.854071	DL DCI Rxed	85	4	0	1	1	0	14	2
0.854071	DL DCI Rxed	85	4	0	1	2	0	14	2
0.854071	DL DCI Rxed	85	4	0	3	1	0	14	2
0.854071	DL DCI Rxed	85	4	0	3	2	0	14	2
0.854929	HARQ FD Txed	85	4	0	1	2	0	11	2
0.854929	HARQ FD Txed	85	4	0	3	2	0	11	2
0.854929	HARQ FD Txed	85	4	0	3	1	0	11	2
0.854929	HARQ FD Txed	85	4	0	1	1	0	11	2
0.855071	DL DCI Rxed	85	5	0	1	1	0	13	2
0.855071	DL DCI Rxed	85	5	0	1	2	0	13	2
0.855071	DL DCI Rxed	85	5	0	3	1	0	13	2
0.855071	DL DCI Rxed	85	5	0	3	2	0	13	2
0.855929	HARQ FD Txed	85	5	0	1	2	0	15	2
0.855929	HARQ FD Txed	85	5	0	3	2	0	15	2
0.855929	HARQ FD Txed	85	5	0	3	1	0	15	2
0.855929	HARQ FD Txed	85	5	0	1	1	0	15	2
0.856071	DL DCI Rxed	85	6	0	1	1	0	12	2
0.856071	DL DCI Rxed	85	6	0	1	2	0	12	2
0.856071	DL DCI Rxed	85	6	0	3	1	0	12	2
0.856071	DL DCI Rxed	85	6	0	3	2	0	12	2
0.856929	HARQ FD Txed	85	6	0	1	2	0	14	2
0.856929	HARQ FD Txed	85	6	0	3	2	0	14	2
0.856929	HARQ FD Txed	85	6	0	3	1	0	14	2
0.856929	HARQ FD Txed	85	6	0	1	1	0	14	2
0.857071	DL DCI Rxed	85	7	0	1	1	0	11	2
0.857071	DL DCI Rxed	85	7	0	1	2	0	11	2
0.857071	DL DCI Rxed	85	7	0	3	1	0	11	2
0.857071	DL DCI Rxed	85	7	0	3	2	0	11	2
0.857929	HARQ FD Txed	85	7	0	1	2	0	13	2
0.857929	HARQ FD Txed	85	7	0	3	2	0	13	2
0.857929	HARQ FD Txed	85	7	0	3	1	0	13	2
0.857929	HARQ FD Txed	85	7	0	1	1	0	13	2
0.858071	DL DCI Rxed	85	8	0	1	1	0	15	2
0.858071	DL DCI Rxed	85	8	0	1	2	0	15	2
0.858071	DL DCI Rxed	85	8	0	3	1	0	15	2
0.858071	DL DCI Rxed	85	8	0	3	2	0	15	2
0.858929	HARQ FD Txed	85	8	0	1	2	0	12	2
0.858929	HARQ FD Txed	85	8	0	3	2	0	12	2
0.858929	HARQ FD Txed	85	8	0	3	1	0	12	2
0.858929	HARQ FD Txed	85	8	0	1	1	0	12	2
0.859071	DL DCI Rxed	85	9	0	1	1	0	14	2
0.859071	DL DCI Rxed	85	9	0	1	2	0	14	2
0.859071	DL DCI Rxed	85	9	0	3	1	0	14	2
0.859071	DL DCI Rxed	85	9	0	3	2	0	14	2
0.859929	HARQ FD Txed	85	9	0	1	2	0	11	2
0.859929	HARQ FD Txed	85	9	0	3	2	0	11	2
0.859929	HARQ FD Txed	85	9	0	3	1	0	11	2
0.859929	HARQ FD Txed	85	9	0	1	1	0	11	2
0.860071	DL DCI Rxed	86	0	0	1	1	0	13	2
0.860071	DL DCI Rxed	86	0	0	1	2	0	13	2
0.860071	DL DCI Rxed	86	0	0	3	1	0	13	2
0.860071	DL DCI Rxed	86	0	0	3	2	0	13	2
0.860929	HARQ FD Txed	86	0	0	1	2	0	15	2
0.860929	HARQ FD Txed	86	0	0	3	2	0	15	2
0.860929	HARQ FD Txed	86	0	0	3	1	0	15	2
