Time	CellId	RNTI	BWPId	SINR(dB)
1.35593	1	1	0	15.1344
1.3565	3	2	0	26.8691
1.35657	1	2	0	30.887
1.35693	3	1	0	19.5915
1.35693	1	1	0	15.932
1.35729	3	1	0	24.0267
1.35771	1	2	0	23.0961
1.35793	3	2	0	25.1373
1.35793	1	1	0	16.5686
1.3585	1	1	0	17.4808
1.3585	3	2	0	24.0895
1.35893	1	2	0	27.5527
1.35893	3	1	0	20.3643
1.3595	1	1	0	21.624
1.35964	3	2	0	23.7848
1.35993	1	2	0	26.9852
1.35993	3	1	0	21.0442
1.3605	1	1	0	23.2923
1.36071	3	2	0	23.83
1.36093	1	2	0	33.861
1.36093	3	1	0	20.007
1.36143	1	1	0	22.3071
1.36171	3	2	0	23.5801
1.36193	1	2	0	31.7307
1.36193	3	1	0	20.4023
1.36229	1	1	0	21.6343
1.36271	3	2	0	24.3914
1.36293	1	2	0	28.4444
1.36293	3	1	0	17.4067
1.3635	1	2	0	22.235
1.3635	3	2	0	20.8663
1.36371	3	1	0	23.6343
1.36393	1	1	0	49.0791
1.36436	3	1	0	18.3739
1.3645	1	2	0	28.9649
1.36493	3	2	0	26.4084
1.36493	1	1	0	22.7228
1.3655	1	2	0	29.0519
1.3655	3	2	0	24.7068
1.36593	1	1	0	22.2143
1.36593	3	1	0	18.3093
1.36629	3	1	0	19.6824
1.3665	1	2	0	26.8863
1.36693	3	2	0	25.1318
1.36693	1	1	0	23.8817
1.36729	3	1	0	22.5283
1.36757	1	2	0	25.7717
1.36793	3	2	0	25.0615
1.36793	1	1	0	20.0289
1.36829	3	1	0	18.2884
1.36871	1	2	0	34.1976
1.36893	3	2	0	22.7685
1.36893	1	1	0	19.6788
1.3695	3	2	0	26.2393
1.36971	1	2	0	21.912
1.36993	3	1	0	21.7064
1.36993	1	1	0	19.3361
1.3705	1	1	0	20.5784
1.3705	3	2	0	25.6657
1.37093	1	2	0	28.6265
1.37093	3	1	0	31.8303
